카테고리,항목명,유통사,브랜드,모델명,도매가,소매가,할인율,단위,년월,비고
주방,씽크대,한샘,한샘,HS-2000,800000,1200000,10,개,2024-12,프리미엄 모델
주방,씽크대,대림바스,대림,DL-1500,650000,950000,15,개,2024-12,
주방,후드,LG전자,LG,BH-900,300000,450000,10,대,2025-01,
바닥,강화마루,LG건자재,LG하우시스,Z:IN,45000,60000,15,m²,2025-01,12T
바닥,강화마루,한화건설,한화L&C,보닥,42000,55000,20,m²,2025-01,
바닥,타일,삼성물산,삼성,프리미엄,35000,48000,10,m²,2024-12,욕실용
바닥,마루,현대건설자재,현대,원목플러스,60000,85000,12,m²,2025-01,원목 마루
벽,벽지,신한벽지,신한,프리미엄,15000,22000,15,m²,2025-01,실크벽지
벽,타일,대한타일,대한,주방용,25000,35000,10,m²,2024-12,
욕실,세면대,코리아나,코리아나,KR-100,280000,380000,12,개,2024-12,세트 상품
욕실,욕조,대우건설,대우,DW-원형,600000,850000,15,개,2025-01,
욕실,샤워부스,삼성전자,삼성,SB-1000,450000,650000,10,개,2025-01,강화유리
조명,LED등,필립스,필립스,조명Pro,18000,25000,20,개,2025-01,거실용
조명,스탠드,오스람,오스람,S-100,120000,180000,15,대,2024-12,
창호,유리창,KCC글라스,KCC,이중창Pro,70000,95000,10,m²,2025-01,
창호,방문,한샘,한샘,원목문,550000,780000,12,개,2024-12,고급 원목
